County,Cell Sites Served,Cell Sites Out,Percent Out
ADJUNTAS,10,8,80.0%
AGUADA,18,18,100.0%
AGUADILLA,47,47,100.0%
AGUAS BUENAS,20,20,100.0%
AIBONITO,21,20,95.2%
ANASCO,15,15,100.0%
ARECIBO,69,68,98.6%
ARROYO,10,10,100.0%
BARCELONETA,24,23,95.8%
BARRANQUITAS,18,17,94.4%
BAYAMON,154,124,80.5%
CABO ROJO,52,51,98.1%
CAGUAS,91,83,91.2%
CAMUY,17,17,100.0%
CANOVANAS,29,27,93.1%
CAROLINA,130,114,87.7%
CATANO,21,17,81.0%
CAYEY,46,45,97.8%
CEIBA,12,12,100.0%
CIALES,13,11,84.6%
CIDRA,27,27,100.0%
COAMO,22,20,90.9%
COMERIO,18,18,100.0%
COROZAL,22,21,95.5%
CULEBRA,9,8,88.9%
DORADO,45,45,100.0%
FAJARDO,36,34,94.4%
FLORIDA,6,6,100.0%
GUANICA,17,17,100.0%
GUAYAMA,30,30,100.0%
GUAYANILLA,10,10,100.0%
GUAYNABO,97,76,78.4%
GURABO,33,31,93.9%
HATILLO,29,29,100.0%
HORMIGUEROS,10,10,100.0%
HUMACAO,44,39,88.6%
ISABELA,33,32,97.0%
JAYUYA,7,7,100.0%
JUANA DIAZ,32,29,90.6%
JUNCOS,23,20,87.0%
LAJAS,19,19,100.0%
LARES,15,15,100.0%
LAS MARIAS,9,9,100.0%
LAS PIEDRAS,18,17,94.4%
LOIZA,11,11,100.0%
LUQUILLO,13,12,92.3%
MANATI,28,27,96.4%
MARICAO,5,5,100.0%
MAUNABO,12,11,91.7%
MAYAGUEZ,67,65,97.0%
MOCA,19,19,100.0%
MOROVIS,21,21,100.0%
NAGUABO,23,23,100.0%
NARANJITO,23,23,100.0%
OROCOVIS,15,14,93.3%
PATILLAS,16,15,93.8%
PENUELAS,19,18,94.7%
PONCE,103,99,96.1%
QUEBRADILLAS,20,18,90.0%
RINCON,15,15,100.0%
RIO GRANDE,44,41,93.2%
SABANA GRANDE,13,12,92.3%
SALINAS,29,27,93.1%
SAN GERMAN,25,24,96.0%
SAN JUAN,364,283,77.7%
SAN LORENZO,22,22,100.0%
SAN SEBASTIAN,21,19,90.5%
SANTA ISABEL,18,18,100.0%
TOA ALTA,43,40,93.0%
TOA BAJA,54,49,90.7%
TRUJILLO ALTO,46,40,87.0%
UTUADO,21,21,100.0%
VEGA ALTA,27,25,92.6%
VEGA BAJA,34,34,100.0%
VIEQUES,12,12,100.0%
VILLALBA,9,9,100.0%
YABUCOA,31,31,100.0%
YAUCO,20,18,90.0%